City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,weno,7.4515,151.8468,27.32,78,100,6.24,FM,1706561933
1,blackmans bay,-43.0167,147.3167,11.4,80,0,0.45,AU,1706561933
2,longyearbyen,78.2186,15.6401,-3.09,86,75,4.63,SJ,1706561934
3,bikenibeu village,1.3673,173.1241,28.98,79,75,1.54,KI,1706561934
4,qaqortoq,60.7167,-46.0333,-24.0,76,13,2.86,GL,1706561694
5,waitangi,-43.9535,-176.5597,17.68,98,57,2.24,NZ,1706561935
6,bethel,41.3712,-73.414,2.79,71,100,6.69,US,1706561935
7,atafu village,-8.5421,-172.5159,29.23,71,79,3.49,TK,1706561936
8,stanley,54.868,-1.6985,5.77,93,100,5.82,GB,1706561690
9,sao jose da coroa grande,-8.8978,-35.1478,27.25,75,13,3.71,BR,1706561937
10,port-aux-francais,-49.35,70.2167,3.94,70,99,16.61,TF,1706561937
11,grytviken,-54.2811,-36.5092,8.53,61,80,3.88,GS,1706561938
12,magadi,12.9667,77.2333,19.09,77,95,4.21,IN,1706561938
13,papatowai,-46.5619,169.4708,17.5,63,97,2.43,NZ,1706561690
14,puerto natales,-51.7236,-72.4875,17.25,51,40,10.8,CL,1706561939
15,torzhok,57.0436,34.9622,1.46,83,100,5.29,RU,1706561939
16,hermanus,-34.4187,19.2345,22.11,75,97,7.58,ZA,1706561695
17,edinburgh of the seven seas,-37.0676,-12.3116,16.42,68,38,8.86,SH,1706561691
18,tadine,-21.55,167.8833,26.37,68,99,3.23,NC,1706561940
19,mount gambier,-37.8333,140.7667,13.37,84,8,2.26,AU,1706561941
20,west island,-12.1568,96.8225,23.99,83,30,0.0,CC,1706561941
21,san antonio de pale,-1.4014,5.6325,27.65,80,91,3.35,GQ,1706561942
22,thompson,55.7435,-97.8558,-4.91,93,100,4.12,CA,1706561942
23,bilibino,68.0546,166.4372,-31.97,99,100,1.23,RU,1706561943
24,punta arenas,-53.15,-70.9167,17.01,41,0,8.75,CL,1706561906
25,kurchatov,51.6601,35.6521,-4.77,98,100,2.42,RU,1706561944
26,khandyga,62.6667,135.6,-48.0,100,84,0.98,RU,1706561945
27,ribeira grande,38.5167,-28.7,16.54,94,20,8.23,PT,1706561945
28,port elizabeth,-33.918,25.5701,22.83,89,63,3.58,ZA,1706561946
29,takoradi,4.8845,-1.7554,26.93,80,7,3.89,GH,1706561946
30,geraldton,-28.7667,114.6,17.23,82,0,5.14,AU,1706561947
31,douvres-la-delivrande,49.2947,-0.3804,12.77,82,99,7.2,FR,1706561948
32,st. john's,47.5649,-52.7093,-1.79,94,100,6.71,CA,1706561914
33,brisas de zicatela,15.8369,-97.0419,28.47,58,1,3.49,MX,1706561949
34,port lincoln,-34.7333,135.8667,17.23,82,85,4.81,AU,1706561950
35,nouadhibou,20.931,-17.0347,22.99,38,0,5.14,MR,1706561951
36,nagato,34.3833,131.2,4.84,80,31,2.29,JP,1706561951
37,sao gabriel da cachoeira,-0.1303,-67.0892,29.17,80,88,0.5,BR,1706561952
38,hamilton,39.1834,-84.5333,2.97,80,100,4.12,US,1706561827
39,college,64.8569,-147.8028,-23.22,64,100,0.0,US,1706561953
40,rosarito,32.3333,-117.0333,28.01,36,9,2.4,MX,1706561953
41,hawaiian paradise park,19.5933,-154.9731,28.83,71,0,1.54,US,1706561954
42,tucuma,-0.1833,-50.05,27.36,81,47,2.86,BR,1706561954
43,port alfred,-33.5906,26.891,21.21,93,67,2.68,ZA,1706561955
44,tarko-sale,64.9225,77.785,-24.0,97,59,4.89,RU,1706561956
45,nadi,-17.8,177.4167,27.0,78,75,2.06,FJ,1706561956
46,cabo san lucas,22.8909,-109.9124,31.45,61,100,4.02,MX,1706561957
47,tommot,58.9564,126.2925,-31.72,98,100,0.77,RU,1706561957
48,al kharijah,25.4514,30.5464,12.54,45,0,4.18,EG,1706561958
49,tralee,52.2704,-9.7026,3.85,77,7,2.51,IE,1706561958
50,port mathurin,-19.6833,63.4167,27.43,82,100,9.89,MU,1706561959
51,yellowknife,62.456,-114.3525,-0.33,100,100,5.66,CA,1706561960
52,kencong,-8.2833,113.3667,24.44,89,100,1.23,ID,1706561960
53,akureyri,65.6835,-18.0878,1.96,69,75,4.12,IS,1706561961
54,pisco,-13.7,-76.2167,30.03,54,0,8.23,PE,1706561962
55,manokwari,-0.8667,134.0833,25.98,79,100,1.8,ID,1706561962
56,tayshet,55.9342,98.0044,-26.98,95,6,2.79,RU,1706561963
57,novyy urgal,51.0736,132.5642,-23.16,99,100,1.45,RU,1706561963
58,adamstown,-25.066,-130.1015,24.61,76,100,5.12,PN,1706561964
59,badger,64.8,-147.5333,-23.26,71,100,0.0,US,1706561965
60,isafjordur,66.0755,-23.124,-1.28,57,48,9.52,IS,1706561965
61,enewetak,11.3474,162.3373,25.97,59,71,4.04,MH,1706561966
62,gufeng,26.9083,118.9819,8.61,99,100,0.37,CN,1706561966
63,kousa,25.9141,32.7636,14.05,41,0,2.49,EG,1706561967
64,invercargill,-46.4,168.35,18.34,73,55,1.79,NZ,1706561443
65,sao miguel do araguaia,-13.275,-50.1628,26.54,85,100,0.8,BR,1706561968
66,kendari,-3.945,122.4989,24.41,93,72,1.29,ID,1706561968
67,sanming,26.2486,117.6186,12.21,99,100,0.64,CN,1706561969
68,ust-nera,64.5667,143.2,-36.06,96,100,1.95,RU,1706561969
69,dawesville,30.9224,-84.0091,16.49,47,0,3.6,US,1706561970
70,fortuna,40.5982,-124.1573,20.55,63,20,8.23,US,1706561136
71,saipan,15.1355,145.701,24.39,69,75,6.69,MP,1706561971
72,gulf shores,30.246,-87.7008,17.03,46,0,3.09,US,1706561972
73,sandnessjoen,66.0217,12.6316,6.29,81,40,7.2,NO,1706561741
74,bredasdorp,-34.5322,20.0403,23.18,56,77,6.64,ZA,1706561973
75,keflavik,64.0049,-22.5624,0.95,74,75,6.69,IS,1706561974
76,colares,38.7992,-9.4469,15.44,93,39,2.24,PT,1706561974
77,papao,-17.75,-149.55,30.82,77,98,1.73,PF,1706561975
78,jamestown,42.097,-79.2353,0.86,98,100,4.12,US,1706561975
79,codrington,-38.2667,141.9667,14.14,79,0,2.78,AU,1706561976
80,puerto baquerizo moreno,-0.9,-89.6,29.55,74,20,6.69,EC,1706561977
81,uturoa,-16.7333,-151.4333,28.44,77,100,2.21,PF,1706561977
82,aasiaat,68.7098,-52.8699,-26.92,96,100,1.35,GL,1706561978
83,port blair,11.6667,92.75,24.02,94,40,0.51,IN,1706561978
84,georgetown,5.4112,100.3354,27.19,85,20,3.09,MY,1706561920
85,anadyr,64.75,177.4833,-33.72,75,40,4.0,RU,1706561979
86,pundong,-7.9522,110.3486,25.46,86,100,1.22,ID,1706561980
87,kerikeri,-35.2268,173.9474,22.17,81,2,0.89,NZ,1706561980
88,zaragoza,41.6561,-0.8773,12.49,83,75,0.51,ES,1706561981
89,berezovyy,51.6667,135.7,-20.63,97,82,1.51,RU,1706561982
90,camayenne,9.535,-13.6878,29.05,65,46,3.09,GN,1706561982
91,avarua,-21.2078,-159.775,29.03,84,75,4.12,CK,1706561789
92,kodiak,57.79,-152.4072,-13.54,83,100,5.03,US,1706561983
93,ca mau,9.1769,105.15,23.6,85,80,3.75,VN,1706561984
94,kilju,40.9642,129.3278,-7.37,88,82,2.0,KP,1706561985
95,suva,-18.1416,178.4415,25.71,89,75,1.54,FJ,1706561985
96,letlhakeng,-24.0944,25.0298,25.68,49,18,2.76,BW,1706561986
97,ushuaia,-54.8,-68.3,14.79,47,0,11.83,AR,1706561761
98,uvira,-3.4067,29.1458,23.03,91,100,1.52,CD,1706561987
99,hilo,19.7297,-155.09,29.6,63,0,1.79,US,1706561782
100,susuman,62.7833,148.1667,-33.9,94,100,0.45,RU,1706561988
101,primero de mayo,-32.2552,-58.4228,32.12,29,19,4.74,AR,1706561988
102,san luis de la loma,17.2706,-100.8939,29.83,57,100,3.26,MX,1706561813
103,gebeit,21.0667,36.3167,14.55,69,100,1.61,SD,1706561989
104,aykhal,66.0,111.5,-21.99,100,100,1.12,RU,1706561990
105,acarau,-2.8856,-40.12,27.92,78,93,8.07,BR,1706561990
106,queenstown,-31.8976,26.8753,22.62,49,96,1.24,ZA,1706561991
107,selfoss,63.9331,-20.9971,0.58,87,100,12.97,IS,1706561756
108,vorkuta,67.5,64.0,-16.62,92,76,4.89,RU,1706561991
109,whitehorse,60.7161,-135.0538,4.43,87,75,10.29,CA,1706561992
110,albany,42.6001,-73.9662,1.21,79,99,2.39,US,1706561992
111,santa elena de uairen,4.6167,-61.1333,29.09,39,85,2.71,VE,1706561993
112,pacanga,-7.1667,-79.5,28.75,60,98,5.96,PE,1706561993
113,usinsk,65.9939,57.5281,-12.18,94,100,8.05,RU,1706561994
114,utrik,11.2278,169.8474,26.11,69,100,5.48,MH,1706561994
115,mumbwa,-14.9783,27.0619,18.98,85,5,1.72,ZM,1706561995
116,ayacucho,-13.1583,-74.2239,24.92,29,40,3.09,PE,1706561995
117,dudinka,69.4058,86.1778,-15.18,83,100,8.05,RU,1706561995
118,haiku-pauwela,20.9219,-156.3051,26.76,72,75,7.2,US,1706561996
119,tura,25.5198,90.2201,12.21,62,0,1.29,IN,1706561782
120,sotkamo,64.1333,28.4167,2.01,76,9,7.23,FI,1706561997
121,idri,27.5,13.2667,10.94,53,1,5.06,LY,1706561997
122,semenov,56.7875,44.493,-3.11,95,100,4.99,RU,1706561768
123,vernon,50.2581,-119.2691,9.61,88,100,0.51,CA,1706561889
124,wanning,18.8003,110.3967,20.83,90,87,1.51,CN,1706561998
125,antonio enes,-16.2325,39.9086,25.1,77,0,1.96,MZ,1706561999
126,ierapetra,35.01,25.7353,9.52,65,54,7.6,GR,1706561999
127,lovisa,60.4566,26.2251,0.16,94,100,2.79,FI,1706562000
128,tolanaro,-25.0319,46.9987,24.04,83,75,5.14,MG,1706562001
129,broken hill,-31.95,141.4333,23.11,37,5,6.47,AU,1706562004
130,villa ocampo,-28.4875,-59.3551,32.48,35,0,2.7,AR,1706562009
131,bowen,-20.0167,148.2333,28.65,83,100,2.0,AU,1706562011
132,lihue,21.9789,-159.3672,25.97,82,20,6.17,US,1706561968
133,afaahiti,-17.75,-149.2833,29.93,77,98,1.6,PF,1706562015
134,simpang,-1.2667,104.0833,23.18,96,94,1.29,ID,1706562016
135,saltpond,5.2091,-1.0606,26.9,80,16,4.24,GH,1706562017
136,olonkinbyen,70.9221,-8.7187,-5.86,54,99,3.31,SJ,1706562019
137,cam ranh,11.9214,109.1591,22.98,83,40,2.06,VN,1706562020
138,sukhoy log,56.9094,62.0296,-14.8,97,86,2.4,RU,1706562021
139,ulsteinvik,62.3432,5.8487,6.28,74,11,4.92,NO,1706562022
140,alice springs,-23.7,133.8833,22.75,31,98,2.06,AU,1706562023
141,bamboo flat,11.7,92.7167,24.05,94,40,0.51,IN,1706562024
142,vacaria,-28.5122,-50.9339,18.56,92,39,1.98,BR,1706562025
143,port saint john's,-31.6229,29.5448,24.81,92,100,1.1,ZA,1706562026
144,sabang,5.8933,95.3214,27.3,78,25,6.61,ID,1706562026
145,hassi messaoud,31.6804,6.0729,14.92,63,0,2.06,DZ,1706562027
146,iqaluit,63.7506,-68.5145,-30.73,67,100,1.03,CA,1706562030
147,wailua homesteads,22.0669,-159.378,25.63,80,36,1.34,US,1706562030
148,vila franca do campo,37.7167,-25.4333,18.27,99,61,6.69,PT,1706562031
149,kiunga,-6.1219,141.2906,23.6,99,100,0.98,PG,1706562032
150,kegen,43.0197,79.2203,-7.06,97,100,0.46,KZ,1706562033
151,prado,-17.3411,-39.2208,26.48,82,100,4.11,BR,1706562033
152,puerto ayora,-0.7393,-90.3518,31.98,77,100,5.24,EC,1706562034
153,flying fish cove,-10.4217,105.6791,24.82,94,40,1.54,CX,1706561753
154,chonchi,-42.6128,-73.8092,19.56,46,99,0.83,CL,1706562036
155,vyerkhnyadzvinsk,55.7815,27.9443,-0.19,89,100,4.14,BY,1706562036
156,sant'antioco,39.0664,8.4522,9.82,78,14,3.87,IT,1706562037
157,supia,5.453,-75.6507,27.82,60,77,1.83,CO,1706562038
158,kununurra,-15.7667,128.7333,26.99,94,65,0.0,AU,1706562017
159,oyem,1.5995,11.5793,24.99,70,100,2.03,GA,1706562039
160,labrador city,52.9463,-66.9114,-24.05,48,0,1.54,CA,1706562039
161,sovetskiy,61.3614,63.5842,-22.28,100,99,1.34,RU,1706562040
162,smithers,54.7804,-127.1743,9.18,66,40,3.6,CA,1706562040
163,mazagao,-0.115,-51.2894,30.03,83,35,1.55,BR,1706562042
164,ilulissat,69.2167,-51.1,-21.99,64,100,5.14,GL,1706562043
165,andirin,37.5776,36.3549,-1.56,76,100,3.57,TR,1706562044
166,arraial do cabo,-22.9661,-42.0278,27.98,83,40,3.6,BR,1706562045
167,joao pinheiro,-17.7425,-46.1725,25.3,71,90,0.71,BR,1706562046
168,margaret river,-33.95,115.0667,11.29,89,4,4.43,AU,1706562046
169,itaituba,-4.2761,-55.9836,29.09,79,40,2.57,BR,1706562047
170,usogorsk,63.4106,48.6872,-4.63,94,100,4.76,RU,1706562048
171,praia da vitoria,38.7333,-27.0667,16.53,88,75,4.48,PT,1706562049
172,aldinga beach,-35.2793,138.4604,17.64,84,37,4.18,AU,1706562050
173,tucurui,-3.7661,-49.6725,24.89,96,99,1.44,BR,1706562050
174,jalaun,26.1451,79.3366,12.81,58,93,1.11,IN,1706562051
175,lerwick,60.1545,-1.1494,7.0,81,12,6.52,GB,1706561776
176,tiksi,71.6872,128.8694,-26.96,99,75,3.31,RU,1706562052
177,villa gesell,-37.2639,-56.973,25.59,60,14,9.24,AR,1706562053
178,constantia,44.1833,28.65,2.61,83,100,9.13,RO,1706562054
179,colonia,50.9333,6.95,10.46,82,0,2.06,DE,1706561762
180,mount isa,-20.7333,139.5,24.87,88,75,0.0,AU,1706562055
181,rongelap,11.1635,166.8941,26.29,77,88,6.18,MH,1706562056
182,portland,45.5234,-122.6762,17.27,72,75,1.54,US,1706561722
183,portage la prairie,49.9728,-98.2926,3.27,72,75,8.75,CA,1706562057
184,dalandzadgad,43.5708,104.425,-20.08,90,2,1.2,MN,1706562057
