City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto cabezas,14.0351,-83.3888,29.98,79,40,6.17,NI,1706559396
1,singaraja,-8.112,115.0882,26.24,83,100,0.43,ID,1706559375
2,ilulissat,69.2167,-51.1,-22.99,64,75,4.12,GL,1706559397
3,aasiaat,68.7098,-52.8699,-27.37,97,100,1.17,GL,1706559267
4,anadyr,64.75,177.4833,-33.72,75,100,2.0,RU,1706559274
5,kavaratti,10.5669,72.642,27.74,64,52,2.72,IN,1706559399
6,kuqa,41.7278,82.9364,-2.58,56,100,1.36,CN,1706559400
7,port alfred,-33.5906,26.891,26.01,78,57,0.73,ZA,1706559400
8,invercargill,-46.4,168.35,15.57,84,61,1.79,NZ,1706559260
9,jamestown,42.097,-79.2353,0.86,98,100,4.12,US,1706559307
10,kirakira,-10.4544,161.9205,26.6,88,93,4.49,SB,1706559402
11,grytviken,-54.2811,-36.5092,8.69,61,89,4.12,GS,1706559402
12,longyearbyen,78.2186,15.6401,-3.09,86,75,6.17,SJ,1706559403
13,margaret river,-33.95,115.0667,11.59,89,4,4.49,AU,1706559404
14,luau,-10.7073,22.2247,18.85,96,100,1.44,AO,1706559404
15,bure,10.7,37.0667,16.2,53,100,2.05,ET,1706559405
16,port-aux-francais,-49.35,70.2167,3.89,71,99,16.63,TF,1706559345
17,gorontalo,0.5412,123.0595,23.7,95,48,1.68,ID,1706559406
18,puerto natales,-51.7236,-72.4875,17.25,51,40,10.8,CL,1706559407
19,waitangi,-43.9535,-176.5597,17.68,98,49,1.34,NZ,1706559407
20,myszkow,50.5752,19.3246,3.02,92,72,3.39,PL,1706559408
21,taroa,8.7058,171.2275,26.48,85,97,8.28,MH,1706559408
22,lesnoy,57.6198,63.0784,-19.03,100,80,1.73,RU,1706559409
23,west island,-12.1568,96.8225,23.99,83,28,2.06,CC,1706559409
24,adamstown,-25.066,-130.1015,24.58,77,100,5.07,PN,1706559410
25,carnarvon,-24.8667,113.6333,23.13,77,0,9.47,AU,1706559410
26,bilibino,68.0546,166.4372,-32.51,99,100,1.05,RU,1706559411
27,burang,30.25,81.1667,-9.17,80,44,1.57,CN,1706559411
28,cam ranh,11.9214,109.1591,23.98,78,40,3.09,VN,1706559412
29,sawakin,19.1059,37.3321,22.43,63,66,3.41,SD,1706559412
30,sibi,29.5448,67.8764,17.45,26,100,1.42,PK,1706559413
31,luninyets,52.2472,26.8047,-2.73,94,100,3.18,BY,1706559414
32,hawaiian paradise park,19.5933,-154.9731,28.83,69,0,1.54,US,1706559414
33,egilsstadir,65.2653,-14.3948,4.95,70,75,8.23,IS,1706559414
34,thompson,55.7435,-97.8558,-4.91,93,100,4.12,CA,1706559266
35,ribeira grande,38.5167,-28.7,17.22,88,40,9.26,PT,1706559415
36,santa vitoria do palmar,-33.5189,-53.3681,24.51,56,21,4.63,BR,1706559416
37,atmakur,15.8833,78.5833,19.56,77,95,2.34,IN,1706559416
38,utrik,11.2278,169.8474,26.03,69,100,5.36,MH,1706559276
39,karakulino,56.012,53.7067,-8.77,97,100,2.53,RU,1706559417
40,blackmans bay,-43.0167,147.3167,10.07,83,1,0.45,AU,1706559417
41,carmaux,44.051,2.158,11.15,73,100,4.24,FR,1706559418
42,bredasdorp,-34.5322,20.0403,24.04,51,65,7.04,ZA,1706559258
43,kaseda-shirakame,31.4167,130.3167,8.01,77,64,3.5,JP,1706559419
44,katabu,-4.9333,122.5167,24.38,93,99,0.85,ID,1706559419
45,vernon,50.2581,-119.2691,8.12,89,100,0.51,CA,1706559420
46,cambria,35.5641,-121.0808,22.32,69,17,1.34,US,1706559420
47,freetown,8.484,-13.2299,27.84,78,20,4.12,SL,1706559420
48,edinburgh of the seven seas,-37.0676,-12.3116,16.59,71,41,9.34,SH,1706559421
49,yellowknife,62.456,-114.3525,-1.44,100,100,6.17,CA,1706559421
50,sheridan,44.8333,-106.9173,16.21,41,0,4.63,US,1706559246
51,college,64.8569,-147.8028,-24.33,65,100,0.0,US,1706559266
52,skeldon,5.8833,-57.1333,28.79,66,46,3.9,GY,1706559423
53,howrah,22.5892,88.3103,16.0,88,0,0.0,IN,1706559424
54,bergkamen,51.6333,7.6333,10.24,77,0,4.63,DE,1706559424
55,aflou,34.1128,2.1023,10.0,41,100,1.96,DZ,1706559425
56,kodiak,57.79,-152.4072,-12.27,61,0,4.63,US,1706559426
57,giresun,40.5,38.5,-15.13,98,99,1.54,TR,1706559426
58,papatowai,-46.5619,169.4708,16.18,69,100,2.05,NZ,1706559427
59,kaeng khoi,14.5862,100.9976,27.28,58,84,1.35,TH,1706559428
60,dalandzadgad,43.5708,104.425,-17.36,85,3,1.62,MN,1706559428
61,prince rupert,54.3161,-130.3201,10.05,81,100,14.4,CA,1706559312
62,antonio enes,-16.2325,39.9086,25.33,76,0,2.46,MZ,1706559429
63,shimoda,34.6667,138.95,7.84,69,3,4.32,JP,1706559430
64,tolanaro,-25.0319,46.9987,23.44,80,100,5.09,MG,1706559431
65,birjand,32.8663,59.2211,1.26,40,0,3.09,IR,1706559431
66,karaton,-6.3424,106.1045,23.85,92,100,0.35,ID,1706559432
67,trujillo,-8.116,-79.03,24.98,83,75,2.57,PE,1706558855
68,aykhal,66.0,111.5,-21.47,100,100,1.2,RU,1706559433
69,lodwar,3.1191,35.5973,33.49,26,32,3.17,KE,1706559433
70,sao jose da coroa grande,-8.8978,-35.1478,28.17,70,17,4.49,BR,1706559434
71,bogande,12.9714,-0.1436,25.23,14,0,4.28,BF,1706559435
72,petropavlovsk-kamchatsky,53.0452,158.6483,-15.3,93,0,5.0,RU,1706559435
73,luderitz,-26.6481,15.1594,18.55,74,99,3.3,NA,1706559261
74,talnakh,69.4865,88.3972,-16.55,91,100,3.94,RU,1706559437
75,raduzhny,62.0961,77.475,-23.65,100,100,2.76,RU,1706559438
76,olonkinbyen,70.9221,-8.7187,-5.74,55,100,3.69,SJ,1706559438
77,tual,-5.6667,132.75,28.34,78,100,8.22,ID,1706559439
78,sinabang,2.4803,96.3801,26.36,83,38,1.39,ID,1706559439
79,black forest,39.0131,-104.7008,10.94,45,0,5.66,US,1706559440
80,linhares,-19.3911,-40.0722,28.54,81,82,2.46,BR,1706559328
81,costa rica,-23.4167,-54.65,34.44,20,36,3.71,BR,1706559275
82,nuuk,64.1835,-51.7216,-16.66,60,75,8.75,GL,1706559160
83,vorgashor,67.5833,63.95,-16.76,93,65,4.46,RU,1706559442
84,yaiza,28.9633,-13.7631,17.87,59,0,2.06,ES,1706559443
85,kone,-21.0595,164.8658,25.27,78,87,0.35,NC,1706559444
86,twin falls,42.3505,-114.6445,7.94,76,0,5.66,US,1706559384
87,port lincoln,-34.7333,135.8667,17.05,85,77,4.94,AU,1706559262
88,sur,22.5667,59.5289,23.7,73,100,1.12,OM,1706559445
89,kirensk,57.7853,108.1119,-38.91,100,68,0.45,RU,1706559446
90,yerofey pavlovich,53.9667,121.9667,-31.39,96,94,1.34,RU,1706559446
91,polyarnyy,69.1989,33.4478,0.88,66,100,15.61,RU,1706559447
92,udachny,66.4167,112.4,-21.42,76,100,0.95,RU,1706559447
93,khanty-mansiysk,61.0042,69.0019,-22.72,70,75,0.0,RU,1706559448
94,puerto ayora,-0.7393,-90.3518,31.98,75,100,5.05,EC,1706559264
95,vargem grande do sul,-21.8322,-46.8936,25.25,29,20,3.13,BR,1706559450
96,east aurora,42.7678,-78.6134,0.49,81,100,3.08,US,1706559450
97,la passe,45.5549,-0.8967,12.13,88,100,5.11,FR,1706559451
98,dhidhdhoo,6.8833,73.1,27.57,66,6,3.78,MV,1706559451
99,taulaga,-11.0553,-171.0883,29.3,69,99,1.87,AS,1706559452
100,zhoushan,30.0108,122.2047,9.48,98,100,3.41,CN,1706559453
101,mar del plata,-38.0023,-57.5575,26.4,76,0,11.18,AR,1706559211
102,avarua,-21.2078,-159.775,29.03,89,75,3.6,CK,1706559454
103,cabedelo,-6.9811,-34.8339,30.37,73,14,6.35,BR,1706559454
104,road town,18.4167,-64.6167,27.05,72,0,4.22,VG,1706559455
